1	pound	1	1	40	35	100	0	10	2	1	0	5	1	0
2	karate-chop	1	2	50	25	100	0	10	2	44	0	5	2	0
3	double-slap	1	1	15	10	85	0	10	2	30	0	5	10	0
4	comet-punch	1	1	18	15	85	0	10	2	30	0	5	12	0
5	mega-punch	1	1	80	20	85	0	10	2	1	0	5	1	0
6	pay-day	1	1	40	20	100	0	10	2	35	0	4	11	0
7	fire-punch	1	10	75	15	100	0	10	2	5	10	2	1	0
8	ice-punch	1	15	75	15	100	0	10	2	6	10	2	1	0
9	thunder-punch	1	13	75	15	100	0	10	2	7	10	1	1	0
10	scratch	1	1	40	35	100	0	10	2	1	0	5	1	0
11	vice-grip	1	1	55	30	100	0	10	2	1	0	5	1	0
12	guillotine	1	1	0	5	30	0	10	2	39	0	1	14	0
13	razor-wind	1	1	80	10	100	0	11	3	40	0	1	2	0
14	swords-dance	1	1	0	20	0	0	7	1	51	0	2	32	0
15	cut	1	1	50	30	95	0	10	2	1	0	1	14	0
16	gust	1	3	40	35	100	0	10	3	150	0	4	21	0
17	wing-attack	1	3	60	35	100	0	10	2	1	0	1	12	0
18	whirlwind	1	1	0	20	0	-6	10	1	29	0	4	21	0
19	fly	1	3	90	15	95	0	10	2	156	0	4	15	0
20	bind	1	1	15	20	85	0	10	2	43	100	5	24	0
21	slam	1	1	80	20	75	0	10	2	1	0	5	23	0
22	vine-whip	1	12	45	25	100	0	10	2	1	0	1	1	0
23	stomp	1	1	65	20	100	0	10	2	151	30	5	4	0
24	double-kick	1	2	30	30	100	0	10	2	45	0	1	12	0
25	mega-kick	1	1	120	5	75	0	10	2	1	0	1	1	0
26	jump-kick	1	2	100	10	95	0	10	2	46	0	1	3	0
27	rolling-kick	1	2	60	15	85	0	10	2	32	30	1	5	0
28	sand-attack	1	5	0	15	100	0	10	1	24	0	3	10	0
29	headbutt	1	1	70	15	100	0	10	2	32	30	5	9	0
30	horn-attack	1	1	65	25	100	0	10	2	1	0	1	1	0
31	fury-attack	1	1	15	20	85	0	10	2	30	0	1	10	0
32	horn-drill	1	1	0	5	30	0	10	2	39	0	1	14	0
33	tackle	1	1	40	35	100	0	10	2	1	0	5	1	0
34	body-slam	1	1	85	15	100	0	10	2	7	30	5	4	0
35	wrap	1	1	15	20	90	0	10	2	43	100	5	24	0
36	take-down	1	1	90	20	85	0	10	2	49	0	5	3	0
37	thrash	1	1	120	10	100	0	8	2	28	0	5	6	0
38	double-edge	1	1	120	15	100	0	10	2	199	0	5	3	0
39	tail-whip	1	1	0	30	100	0	11	1	20	0	3	28	0
40	poison-sting	1	4	15	35	100	0	10	2	3	30	4	9	0
41	twineedle	1	7	25	20	100	0	10	2	78	20	1	9	0
42	pin-missile	1	7	25	20	95	0	10	2	30	0	1	10	0
43	leer	1	1	0	30	100	0	11	1	20	100	1	24	0
44	bite	1	17	60	25	100	0	10	2	32	30	5	5	0
45	growl	1	1	0	40	100	0	11	1	19	0	3	28	0
46	roar	1	1	0	20	0	-6	10	1	29	0	1	21	0
47	sing	1	1	0	15	55	0	10	1	2	0	3	18	0
48	supersonic	1	1	0	20	55	0	10	1	50	0	4	21	0
49	sonic-boom	1	1	0	20	90	0	10	3	131	0	1	12	0
50	disable	1	1	0	20	100	0	10	1	87	0	4	18	0
51	acid	1	4	40	30	100	0	11	3	73	10	4	4	0
52	ember	1	10	40	25	100	0	10	3	5	10	2	1	0
53	flamethrower	1	10	90	15	100	0	10	3	5	10	2	1	0
54	mist	1	15	0	30	0	0	4	1	47	0	2	15	0
55	water-gun	1	11	40	25	100	0	10	3	1	0	3	1	0
56	hydro-pump	1	11	110	5	80	0	10	3	1	0	2	1	0
57	surf	1	11	90	15	100	0	9	3	258	0	2	2	0
58	ice-beam	1	15	90	10	100	0	10	3	6	10	2	23	0
59	blizzard	1	15	110	5	70	0	11	3	261	10	2	1	0
60	psybeam	1	14	65	20	100	0	10	3	77	10	2	21	0
61	bubble-beam	1	11	65	20	100	0	10	3	71	10	2	5	0
62	aurora-beam	1	15	65	20	100	0	10	3	69	10	2	23	0
63	hyper-beam	1	1	150	5	90	0	10	3	81	0	1	6	0
